Name,RA (J2000),Dec (J2000),Object Type,cz [km/s],z-flag,Redshift Reference,PA [deg],Sep. [Mpc],Δcz [km/s]
SDSS J153642.34+215321.2,15h36m42.35s,+21d53m21.3s,G,7012,,2011ApJ...735..125S,165.9,2.1157,1578
IC 4573,15h42m12.34s,+23d47m59.9s,G,7149,,2007SDSS6.C...0000:,79.5,2.1453,1715
IC 4575,15h42m19.65s,+23d48m27.5s,G,6826,,2000AJ....119...32G,79.4,2.1819,1392
ESDO F582-01,15h34m05.67s,+21d47m54.4s,G,7065,,2000ApJS..131...47E,-173.3,2.1826,1631
LSBC F582-02,15h33m57.63s,+21d47m23.8s,G,7043,,1992NED11.R......1N,-172.3,2.1982,1609
IC 4576,15h42m35.50s,+23d40m12.2s,G,6733,,2000AJ....119...32G,84.2,2.2355,1299
USGC U719,15h42m32.90s,+23d46m06.0s,GGroup,6974,,2002AJ....123.2976R,81.0,2.2375,1540
WBL 583,15h42m33.49s,+23d45m30.5s,GGroup,6917,,1997AJ....113..483R,81.3,2.2385,1483
2MASX J15333262+2146053,15h33m32.61s,+21d46m05.3s,G,7032,,2011ApJ...735..125S,-169.3,2.2450,1598
MRK 0860 NED02,15h39m26.07s,+24d56m36.9s,G,6836,,2000AJ....119...32G,35.1,2.2457,1402
MRK 0860,15h39m26.77s,+24d56m45.6s,GPair,6868,,2004A&A...416..515D,35.1,2.2502,1434
UZC-CG 241,15h42m36.00s,+23d45m31.0s,GGroup,7008,,2002A&A...391...35F,81.3,2.2506,1574
MRK 0860 NED01,15h39m27.45s,+24d56m51.5s,G,6869,,1987ApJ...318..161S,35.2,2.2538,1435
2MASX J15354819+2144246,15h35m48.19s,+21d44m25.1s,G,7052,,2011ApJ...735..125S,173.6,2.2557,1618
SDSS J154240.79+234831.0,15h42m40.80s,+23d48m31.1s,G,7026,,2007SDSS6.C...0000:,79.8,2.2832,1592
IC 4577,15h42m45.56s,+23d47m33.5s,G,7039,,2000AJ....119...32G,80.4,2.3028,1605
IC 4579,15h42m51.51s,+23d46m23.4s,G,7016,,2000AJ....119...32G,81.1,2.3278,1582
SDSS J154251.63+235008.3,15h42m51.64s,+23d50m08.3s,G,6949,,2007SDSS6.C...0000:,79.2,2.3409,1515
SDSS J152650.17+233615.0,15h26m50.18s,+23d36m15.0s,G,5027,,2007SDSS6.C...0000:,-86.5,2.3696,-407
SDSS J154306.66+234713.2,15h43m06.67s,+23d47m13.3s,G,6776,,2007SDSS6.C...0000:,81.0,2.4031,1342
SDSS J152629.13+232303.9,15h26m29.13s,+23d23m04.0s,G,5070,,2007SDSS6.C...0000:,-93.1,2.4751,-364
SDSS J154311.08+240709.6,15h43m11.09s,+24d07m09.6s,G,7183,,2007SDSS6.C...0000:,71.5,2.5193,1749
2MFGC 12516,15h30m33.75s,+25d15m40.7s,G,6895,,2007SDSS6.C...0000:,-29.4,2.5726,1461
SDSS J154253.08+242613.0,15h42m53.09s,+24d26m13.1s,G,6958,,2011AJ....142..170H,62.3,2.5923,1524
2MASX J15352532+2127346,15h35m25.29s,+21d27m35.1s,G,6930,,2011ApJ...735..125S,177.0,2.6026,1496
UGCl 365,15h38m42.15s,+21d37m16.7s,GClstr,4490,,1984A&AS...56..363B,155.1,2.6345,-944
SDSS J154346.06+235857.4,15h43m46.07s,+23d58m57.4s,G,7376,,2007SDSS6.C...0000:,76.2,2.6368,1942
SDSS J154356.06+230057.5,15h43m56.07s,+23d00m57.6s,G,6892,,2007SDSS6.C...0000:,102.8,2.6957,1458
SDSS J154324.08+223230.2,15h43m24.09s,+22d32m30.2s,G,7280,,2007SDSS6.C...0000:,115.9,2.7581,1846
SDSS J154408.01+225847.6,15h44m08.02s,+22d58m47.7s,G,6882,,2007SDSS6.C...0000:,103.5,2.7634,1448
SDSS J152554.10+223839.1,15h25m54.11s,+22d38m39.2s,G,6781,,2007SDSS6.C...0000:,-112.0,2.8649,1347
SDSS J154442.10+230209.9,15h44m42.11s,+23d02m09.9s,G,6288,,2007SDSS6.C...0000:,101.3,2.9089,854
NGC 5975,15h39m57.97s,+21d28m14.9s,G,4393,,1997AJ....113.1197H,150.1,2.9753,-1041
LDCE 1140,15h38m29.00s,+21d18m03.0s,GGroup,4436,,2008ApJ...685.1320C,159.5,2.9875,-998
SDSS J154418.84+243150.3,15h44m18.85s,+24d31m50.4s,G,6937,,2007SDSS6.C...0000:,63.9,3.0168,1503
2MASX J15333572+2109052,15h33m35.72s,+21d09m05.4s,G,7215,,2000AJ....119...32G,-172.3,3.0181,1781
ARK 477,15h33m48.92s,+21d08m10.3s,G,7068,,2000AJ....119...32G,-173.6,3.0296,1634
SDSS J154454.90+242121.4,15h44m54.91s,+24d21m21.4s,G,6749,,2007SDSS6.C...0000:,69.0,3.0921,1315
SDSS J154511.91+241617.1,15h45m11.92s,+24d16m17.1s,G,6610,,2007SDSS6.C...0000:,71.3,3.1352,1176
SDSS J153336.99+210314.5,15h33m37.00s,+21d03m14.6s,G,6967,,2011ApJ...735..125S,-172.7,3.1404,1533
CGCG 136-013,15h33m45.46s,+21d00m38.2s,G,6896,,2000AJ....119...32G,-173.6,3.1905,1462
SDSS J153337.81+205953.7,15h33m37.81s,+20d59m53.8s,G,7368,,2011ApJ...735..125S,-173.0,3.2104,1934
CGCG 136-068,15h45m23.28s,+24d30m24.4s,G,6893,,1992ApJS...79..157F,66.6,3.2893,1459
2MASX J15450249+2443254,15h45m02.49s,+24d43m25.9s,G,6861,,2000AJ....119...32G,61.6,3.3146,1427
NGC 5991,15h45m16.78s,+24d37m49.9s,G,6796,,2000AJ....119...32G,63.9,3.3239,1362
LSBC D514-05,15h23m57.14s,+24d12m58.8s,G,6575,,2011AJ....142..170H,-73.6,3.3263,1141
IC 4583,15h46m21.94s,+23d48m32.5s,G,6266,,1999PASP..111..438F,82.8,3.3472,832
LDCE 1147,15h45m56.80s,+24d22m09.0s,GTrpl,6869,,2008ApJ...685.1320C,70.4,3.3802,1435
UGC 09917,15h35m19.09s,+20d50m32.6s,G,3036,,1999PASP..111..438F,178.2,3.3869,-2398
SDSS J154636.32+232448.0,15h46m36.33s,+23d24m48.0s,G,3939,,2007SDSS6.C...0000:,91.3,3.4015,-1495
2MASX J15321040+2052568,15h32m10.41s,+20d52m56.9s,G,6973,,2011ApJ...735..125S,-166.1,3.4334,1539
SDSS J154626.20+241523.7,15h46m26.21s,+24d15m23.8s,G,6283,,2007SDSS6.C...0000:,73.4,3.4745,849
LSBC D582-04,15h37m41.33s,+20d47m13.1s,G,4465,,1997ApJS..111..233S,166.7,3.5486,-969
SDSS J152257.39+230148.5,15h22m57.39s,+23d01m48.6s,G,6786,,2011ApJ...735..125S,-99.1,3.5572,1352
SDSS J153739.62+261507.9,15h37m39.63s,+26d15m07.9s,G,6671,,2011AJ....142..170H,12.4,3.5840,1237
SDSS J152239.45+225937.0,15h22m39.45s,+22d59m37.1s,G,6745,,2011ApJ...735..125S,-99.6,3.6520,1311
SDSS J153057.37+204439.3,15h30m57.37s,+20d44m39.3s,G,4552,,2011ApJ...735..125S,-161.3,3.7030,-882
SDSS J152829.39+210008.0,15h28m29.40s,+21d00m08.0s,G,4512,,2011ApJ...735..125S,-148.8,3.7079,-922
UGC 09937,15h37m22.92s,+20d32m59.3s,G,4526,,1999PASP..111..438F,169.1,3.8258,-908
SDSS J153745.36+203344.3,15h37m45.36s,+20d33m44.3s,G,4180,,2011ApJ...735..125S,167.4,3.8324,-1254
UGC 09825,15h21m45.68s,+23d09m09.4s,G,6703,,1991RC3.9.C...0000d,-95.9,3.8797,1269
IC 1132,15h40m06.76s,+20d40m50.2s,G,4529,,2006HIPAS.C...0000:,156.8,3.9004,-905
CGCG 136-075,15h46m55.53s,+22d09m06.0s,G,6230,,2004AJ....127.1336S,115.5,3.9088,796
SDSS J154037.03+262055.4,15h40m37.04s,+26d20m55.5s,G,4078,,2011ApJ...735..125S,24.0,3.9728,-1356
CGCG 166-029,15h40m37.04s,+26d20m55.5s,G,4089,,1995AJ....109.2368T,24.0,3.9728,-1345
SDSS J154723.56+221143.8,15h47m23.57s,+22d11m43.8s,G,6270,,2007SDSS6.C...0000:,113.9,4.0085,836
SDSS J153627.72+202210.7,15h36m27.73s,+20d22m10.7s,G,4532,,2011ApJ...735..125S,173.6,4.0126,-902
UGC 10017,15h45m33.67s,+21d25m13.5s,G,4412,,1990ApJS...72..245S,129.8,4.0929,-1022
CGCG 136-052,15h40m37.27s,+20d33m44.4s,G,7894,,1996AJ....112.1759D,155.7,4.0989,2460
SDSS J154008.24+202928.5,15h40m08.25s,+20d29m28.5s,G,7906,,2007SDSS6.C...0000:,158.0,4.1269,2471
SDSS J154631.94+252545.5,15h46m31.95s,+25d25m45.6s,G,6837,,2007SDSS6.C...0000:,53.2,4.1535,1403
SDSS J152642.75+204636.5,15h26m42.70s,+20d46m36.6s,G,4586,,2011ApJ...735..125S,-144.6,4.2357,-848
SDSS J152057.62+242637.2,15h20m57.62s,+24d26m37.2s,G,5425,,2011AJ....142..170H,-72.9,4.2410,-9
2MASX J15303583+2644086,15h30m35.84s,+26d44m08.5s,G,7124,,2011AJ....142..170H,-16.7,4.3017,1690
ADBS J153703+2009,15h37m03.20s,+20d09m03.6s,G,3070,,2000ApJS..130..177R,171.6,4.3116,-2364
SDSS J153708.19+200845.2,15h37m08.20s,+20d08m45.2s,G,3072,,2011ApJ...735..125S,171.3,4.3216,-2362
CGCG 136-078,15h47m32.30s,+21d42m26.9s,G,5093,,1992ApJS...79..157F,121.1,4.3461,-341
SDSS J152600.28+204448.8,15h26m00.29s,+20d44m48.8s,G,4614,,2011ApJ...735..125S,-142.6,4.3894,-820
SDSS J155005.32+232339.6,15h50m05.32s,+23d23m39.7s,G,4140,,2007SDSS6.C...0000:,91.0,4.4206,-1294
UGC 10015,15h45m39.23s,+21d01m10.3s,G,4445,,1990ApJS...72..245S,134.6,4.4635,-989
LSBC D582-02,15h25m54.88s,+20d37m56.1s,G,4575,,1997ApJS..111..233S,-143.5,4.5235,-859
SDSS J152554.73+203744.5,15h25m54.74s,+20d37m44.6s,G,4588,,2011ApJ...735..125S,-143.5,4.5272,-846
SDSS J154929.09+245236.9,15h49m29.10s,+24d52m37.0s,G,7047,,2007SDSS6.C...0000:,66.7,4.5663,1613
2MASX J15485842+2151508,15h48m58.47s,+21d51m51.1s,G,7437,,2007SDSS6.C...0000:,116.2,4.6153,2003
SDSS J154952.50+244710.1,15h49m52.50s,+24d47m10.2s,G,6914,,2007SDSS6.C...0000:,68.6,4.6307,1480
SDSS J154855.80+214819.2,15h48m55.81s,+21d48m19.2s,G,7401,,2007SDSS6.C...0000:,117.1,4.6389,1967
CGCG 136-091,15h49m59.92s,+24d48m05.8s,G,7075,,1999PASP..111..438F,68.5,4.6711,1641
2MASX J15494218+2206406,15h49m42.23s,+22d06m40.2s,G,7509,,2007SDSS6.C...0000:,111.5,4.6760,2075
SDSS J155051.91+225622.9,15h50m51.92s,+22d56m23.0s,G,7579,,2007SDSS6.C...0000:,98.0,4.7088,2145
KUG 1548+241,15h51m01.82s,+23d57m36.4s,G,7310,,1992ApJS...79..157F,82.1,4.7199,1876
CGCG 136-095,15h51m01.37s,+23d00m56.8s,G,7484,,1999PASP..111..438F,96.7,4.7394,2050
2MFGC 12712,15h49m32.83s,+21d53m52.3s,G,7369,,2007SDSS6.C...0000:,114.8,4.7472,1935
SDSS J154935.97+215507.7,15h49m35.98s,+21d55m07.7s,G,7263,,2011ApJ...735..125S,114.4,4.7494,1829
2MASX J15412388+2002308,15h41m23.87s,+20d02m30.4s,G,3609,,2007SDSS6.C...0000:,156.3,4.8008,-1825
SDSS J155040.11+244023.0,15h50m40.11s,+24d40m23.1s,G,7094,,2007SDSS6.C...0000:,71.1,4.8029,1660
2MASX J15182391+2355279,15h18m23.92s,+23d55m28.4s,G,6410,,2011ApJ...735..125S,-82.8,4.8544,976
SDSS J152621.33+264951.0,15h26m21.33s,+26d49m51.1s,G,5571,,2011ApJ...735..125S,-29.9,4.9079,137
SDSS J154850.83+211812.5,15h48m50.83s,+21d18m12.6s,G,4999,,2007SDSS6.C...0000:,123.7,4.9557,-435
SDSS J153603.44+232602.9,15h36m03.44s,+23d26m02.9s,G,9256,,2007SDSS6.C...0000:,105.2,0.3334,3822
UGC 09916,15h35m08.17s,+24d06m02.5s,G,9332,,1991RC3.9.C...0000d,4.0,0.7616,3898
SDSS J153446.86+240638.2,15h34m46.87s,+24d06m38.3s,G,10327,,2007SDSS6.C...0000:,-3.7,0.7740,4893
CGCG 136-018,15h34m56.31s,+24d08m11.7s,G,10404,,2012ApJS..199...26H,-0.3,0.8054,4970
2MASX J15320929+2316598,15h32m09.35s,+23d16m59.9s,G,9115,,2007SDSS6.C...0000:,-108.8,0.8629,3681
UGC 09875,15h30m47.30s,+23d03m57.9s,G,1991,,1992ApJS...81....5S,-114.3,1.3373,-3443
SDSS J153306.17+243237.2,15h33m06.17s,+24d32m37.2s,G,10203,,2007SDSS6.C...0000:,-22.0,1.4281,4769
SDSS J153515.24+244916.2,15h35m15.25s,+24d49m16.2s,G,10219,,2007SDSS6.C...0000:,3.0,1.6783,4785
SDSS J153456.40+245139.2,15h34m56.40s,+24d51m39.2s,G,10185,,2007SDSS6.C...0000:,-0.1,1.7265,4751
SDSS J153917.10+242623.2,15h39m17.11s,+24d26m23.2s,G,10127,,2007SDSS6.C...0000:,46.3,1.7324,4693
SDSS J153705.05+244644.2,15h37m05.06s,+24d46m44.3s,G,1600,,2007SDSS6.C...0000:,20.7,1.7360,-3834
UGC 09954,15h39m16.69s,+24d27m18.3s,G,10310,,1991RC3.9.C...0000d,45.8,1.7443,4876
SDSS J153848.99+243543.7,15h38m49.00s,+24d35m43.7s,G,10119,,2007SDSS6.C...0000:,38.7,1.7851,4685
2MASX J15384940+2438092,15h38m49.41s,+24d38m09.3s,G,9974,,2007SDSS6.C...0000:,37.7,1.8266,4540
2MASX J15400604+2423352,15h40m06.08s,+24d23m35.4s,G,10268,,2007SDSS6.C...0000:,52.6,1.8754,4834
2MASX J15412192+2356488,15h41m21.97s,+23d56m49.2s,G,10182,,2007SDSS6.C...0000:,72.8,1.9497,4748
2MASX J15390994+2443005,15h39m09.92s,+24d43m00.6s,G,10073,,2007SDSS6.C...0000:,38.2,1.9686,4639
SDSS J154011.17+243007.6,15h40m11.18s,+24d30m07.7s,G,9463,,2011ApJ...735..125S,49.8,1.9806,4029
2MASX J15285794+2244393,15h28m57.98s,+22d44m39.2s,G,9088,,2007SDSS6.C...0000:,-118.6,1.9991,3654
CGCG 136-056,15h41m43.37s,+23d12m13.3s,G,10359,,1992ApJS...79..157F,100.6,2.0119,4925
SDSS J153444.46+250539.1,15h34m44.47s,+25d05m39.1s,G,10379,,2007SDSS6.C...0000:,-1.7,2.0243,4944
SDSS J153258.34+250241.3,15h32m58.34s,+25d02m41.4s,G,10297,,2007SDSS6.C...0000:,-16.2,2.0430,4863
SDSS J154107.93+241740.3,15h41m07.94s,+24d17m40.3s,G,10384,,2007SDSS6.C...0000:,60.4,2.0585,4950
SDSS J153531.08+250736.1,15h35m31.09s,+25d07m36.1s,G,10001,,2007SDSS6.C...0000:,4.5,2.0712,4567
CGCG 136-051,15h40m31.93s,+24d33m47.0s,G,10326,,2007SDSS6.C...0000:,49.9,2.1071,4892
MSPM 01040,15h40m31.92s,+24d33m47.2s,GClstr,10349,,2012MNRAS.422...25S,49.9,2.1071,4915
SDSS J153607.64+250905.7,15h36m07.65s,+25d09m05.7s,G,10384,,2011AJ....142..170H,9.1,2.1237,4950
2MASX J15343095+2510264,15h34m30.96s,+25d10m26.6s,G,10429,,2007SDSS6.C...0000:,-3.4,2.1287,4995
CGCG 136-029,15h36m32.53s,+25d08m16.6s,G,10340,,2007SDSS6.C...0000:,12.4,2.1293,4906
2MASX J15343522+2511044,15h34m35.20s,+25d11m04.8s,G,10115,,2007SDSS6.C...0000:,-2.8,2.1411,4681
MSPM 00246,15h34m35.21s,+25d11m04.9s,GClstr,10286,,2012MNRAS.422...25S,-2.8,2.1411,4852
2MASX J15402953+2437148,15h40m29.55s,+24d37m14.7s,G,10260,,2007SDSS6.C...0000:,48.2,2.1459,4825
2MASX J15360877+2511057,15h36m08.80s,+25d11m06.0s,G,10193,,2007SDSS6.C...0000:,9.1,2.1666,4759
SDSS J153428.52+251246.2,15h34m28.53s,+25d12m46.3s,G,9943,,2007SDSS6.C...0000:,-3.6,2.1787,4509
SDSS J154120.22+242440.7,15h41m20.23s,+24d24m40.7s,G,10231,,2007SDSS6.C...0000:,57.8,2.1847,4797
2MASX J15343485+2513304,15h34m34.85s,+25d13m30.1s,G,10167,,2007SDSS6.C...0000:,-2.8,2.1925,4733
2MASX J15344023+2513554,15h34m40.24s,+25d13m55.7s,G,10006,,2007SDSS6.C...0000:,-2.1,2.2004,4572
SDSS J153325.72+251206.5,15h33m25.73s,+25d12m06.6s,G,10336,,2007SDSS6.C...0000:,-11.5,2.2050,4902
2MASX J15344318+2517394,15h34m43.21s,+25d17m40.1s,G,10364,,2007SDSS6.C...0000:,-1.7,2.2792,4929
SDSS J152915.67+244432.3,15h29m15.68s,+24d44m32.4s,G,10339,,2007SDSS6.C...0000:,-46.1,2.2831,4905
IC 4556,15h35m22.45s,+25d17m49.7s,G,10265,,1999PASP..111..438F,3.0,2.2848,4831
WBL 576,15h35m44.24s,+25d18m06.3s,GGroup,10379,,1999AJ....118.2014W,5.6,2.2987,4945
2MASX J15285348+2219403,15h28m53.48s,+22d19m41.2s,G,9674,,2007SDSS6.C...0000:,-129.8,2.3207,4240
[DZ2015] 687,15h35m59.76s,+25d19m22.8s,GGroup,10339,,2015A&A...578A..61D,7.4,2.3341,4905
SDSS J153218.72+251416.6,15h32m18.73s,+25d14m16.6s,G,10415,,2007SDSS6.C...0000:,-19.0,2.3352,4981
IC 4559,15h35m53.52s,+25d20m28.1s,G,10403,,1999PASP..111..438F,6.6,2.3533,4969
IC 4558,15h35m46.20s,+25d20m45.2s,G,10129,,2007SDSS6.C...0000:,5.7,2.3555,4695
USGC U720,15h42m40.41s,+22d56m36.9s,GGroup,10408,,1997AJ....113..483R,107.1,2.3651,4974
USGC U712,15h36m17.70s,+25d20m56.0s,GGroup,10259,,1993AJ....106.1301Z,9.3,2.3793,4825
CGCG 136-006 NED02,15h31m36.75s,+25d14m34.5s,G,10037,,2000UZC...C......0F,-23.5,2.4151,4603
MSPM 00692,15h31m34.73s,+25d14m46.0s,GClstr,10235,,2012MNRAS.422...25S,-23.6,2.4227,4801
CGCG 136-006 NED01,15h31m34.72s,+25d14m46.0s,G,10193,,2007SDSS6.C...0000:,-23.6,2.4227,4759
SDSS J153552.13+252409.9,15h35m52.13s,+25d24m09.9s,G,10394,,2007SDSS6.C...0000:,6.2,2.4305,4960
CGCG 136-027,15h36m01.00s,+25d24m05.5s,G,10379,,2007SDSS6.C...0000:,7.2,2.4339,4945
2MASX J15311749+2514220,15h31m17.49s,+25d14m21.7s,G,10159,,2007SDSS6.C...0000:,-25.5,2.4498,4725
2MASX J15304399+2150151,15h30m44.07s,+21d50m14.4s,G,9101,,2011ApJ...735..125S,-149.5,2.4538,3667
SDSS J153109.08+251445.4,15h31m09.09s,+25d14m45.4s,G,10346,,2007SDSS6.C...0000:,-26.2,2.4751,4912
SDSS J153657.54+252347.3,15h36m57.55s,+25d23m47.3s,G,10033,,2007SDSS6.C...0000:,13.4,2.4770,4599
2MASX J15355991+2526476,15h35m59.88s,+25d26m47.4s,G,10339,,2007SDSS6.C...0000:,6.9,2.4901,4905
IC 4561,15h36m47.07s,+25d25m00.5s,G,10208,,1999PASP..111..438F,12.2,2.4909,4774
2MASX J15364144+2525454,15h36m41.46s,+25d25m45.7s,G,10006,,2007SDSS6.C...0000:,11.5,2.5009,4572
SDSS J153608.37+252703.8,15h36m08.38s,+25d27m03.8s,G,10225,,2011AJ....142..170H,7.8,2.5011,4791
SDSS J154105.74+245408.3,15h41m05.75s,+24d54m08.4s,G,9661,,2007SDSS6.C...0000:,44.7,2.5178,4227
2MASX J15425083+2242024,15h42m50.80s,+22d42m02.4s,G,10193,,2007SDSS6.C...0000:,113.5,2.5238,4759
SDSS J153115.87+251850.1,15h31m15.87s,+25d18m50.1s,G,10229,,2007SDSS6.C...0000:,-24.7,2.5388,4795
SDSS J154341.19+235047.6,15h43m41.19s,+23d50m47.7s,G,9335,,2011ApJ...735..125S,79.8,2.5802,3901
MSPM 00690,15h43m13.99s,+22d45m24.1s,GClstr,10184,,2012MNRAS.422...25S,111.0,2.6004,4750
SDSS J154314.00+224524.0,15h43m14.00s,+22d45m24.1s,G,10307,,2007SDSS6.C...0000:,111.0,2.6004,4873
CGCG 136-008,15h32m30.46s,+25d29m06.2s,G,10116,,2007SDSS6.C...0000:,-15.6,2.6183,4682
SDSS J154338.15+224845.8,15h43m38.16s,+22d48m45.9s,G,10205,,2007SDSS6.C...0000:,108.7,2.6858,4771
CGCG 136-010,15h33m00.48s,+25d34m07.2s,G,10073,,2007SDSS6.C...0000:,-12.0,2.6869,4639
2MASX J15433508+2245565,15h43m35.06s,+22d45m56.4s,G,10300,,2007SDSS6.C...0000:,110.0,2.6922,4866
CGCG 136-031,15h37m03.84s,+25d33m55.2s,G,10414,,2007SDSS6.C...0000:,13.0,2.6931,4980
SDSS J154335.11+224431.1,15h43m35.12s,+22d44m31.1s,G,9950,,2011ApJ...735..125S,110.6,2.7034,4516
CGCG 136-064 NED02,15h43m35.12s,+22d44m31.1s,G,10277,,1999PASP..111..438F,110.6,2.7034,4843
SDSS J153921.68+252305.0,15h39m21.69s,+25d23m05.0s,G,9969,,2011ApJ...735..125S,27.8,2.7121,4535
SDSS J153242.55+253610.3,15h32m42.56s,+25d36m10.4s,G,10106,,2007SDSS6.C...0000:,-13.5,2.7486,4672
CGCG 136-007,15h32m01.16s,+25d34m18.0s,G,10085,,2007SDSS6.C...0000:,-17.7,2.7647,4651
SDSS J154113.05+251014.9,15h41m13.06s,+25d10m14.9s,G,9961,,2007SDSS6.C...0000:,40.2,2.7915,4527
CGCG 136-055,15h41m37.75s,+25d06m41.4s,G,10130,,1992ApJS...79..157F,43.1,2.8155,4696
SDSS J154126.43+251019.6,15h41m26.44s,+25d10m19.6s,G,10218,,2007SDSS6.C...0000:,41.2,2.8352,4784
2MASX J15440769+2244136,15h44m07.67s,+22d44m14.0s,G,10161,,2007SDSS6.C...0000:,109.5,2.8543,4727
2MASX J15301048+2528065,15h30m10.54s,+25d28m06.9s,G,10196,,2007SDSS6.C...0000:,-28.7,2.8570,4762
2MASX J15414657+2512542,15h41m46.62s,+25d12m54.7s,G,9981,,2007SDSS6.C...0000:,41.9,2.9410,4547
CGCG 136-062,15h42m45.88s,+24d59m09.9s,G,9991,,1999PASP..111..438F,49.8,2.9474,4557
SDSS J154251.89+245826.3,15h42m51.89s,+24d58m26.4s,G,10102,,2007SDSS6.C...0000:,50.4,2.9601,4667
SDSS J152846.08+252150.6,15h28m46.08s,+25d21m50.6s,G,10145,,2007SDSS6.C...0000:,-36.8,2.9684,4711
CGCG 135-060,15h29m03.81s,+25d27m29.6s,G,10031,,1992ApJS...79..157F,-34.1,3.0153,4597
2MASX J15431356+2500168,15h43m13.56s,+25d00m17.2s,G,10007,,2007SDSS6.C...0000:,51.0,3.0661,4573
MSPM 00735,15h43m13.56s,+25d00m17.3s,GClstr,9800,,2012MNRAS.422...25S,51.0,3.0661,4366
SDSSCGA 00997,15h43m13.80s,+25d01m21.0s,GGroup,10193,,2009MNRAS.395..255M,50.7,3.0810,4759
SDSS J154313.10+250209.0,15h43m13.11s,+25d02m09.1s,G,10099,,2007SDSS6.C...0000:,50.4,3.0890,4665
SDSS J154301.51+250614.5,15h43m01.51s,+25d06m14.6s,G,10103,,2007SDSS6.C...0000:,48.5,3.1015,4669
SDSS J153712.27+255430.4,15h37m12.28s,+25d54m30.5s,G,9492,,2007SDSS6.C...0000:,11.9,3.1282,4058
2MASX J15380373+2551387,15h38m03.80s,+25d51m39.2s,G,9707,,2007SDSS6.C...0000:,16.5,3.1310,4273
SDSS J152945.35+254140.6,15h29m45.36s,+25d41m40.7s,G,10208,,2007SDSS6.C...0000:,-28.1,3.1673,4774
SDSS J152929.34+254208.8,15h29m29.35s,+25d42m08.9s,G,9997,,2007SDSS6.C...0000:,-29.2,3.2134,4563
SDSS J154227.76+252241.9,15h42m27.77s,+25d22m41.9s,G,10181,,2007SDSS6.C...0000:,42.0,3.2275,4747
